massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	85.0278	59.0	0.00265721703609	-3.55	AE_pos_85.0278_59
row2	85.0472	124.0	0.730810186297	-0.35	AE_pos_85.0472_124
row3	85.0653	68.0	0.0865089499162	1.83	AE_pos_85.0653_68
row4	85.1007	16.0	0.0579161231675	-2.04	AE_pos_85.1007_16
row5	86.0595	67.0	0.0767887441614	-1.89	AE_pos_86.0595_67
row6	86.0595	468.0	0.450670529824	0.77	AE_pos_86.0595_468
row7	87.0435	31.0	0.54214522939	-0.62	AE_pos_87.0435_31
row8	87.0546	55.0	6.57190666621e-12	-17.64	AE_pos_87.0546_55
row9	87.0993	53.0	0.0936783896245	1.78	AE_pos_87.0993_53
row10	87.9232	24.0	0.195247173808	-1.35	AE_pos_87.9232_24
row11	88.0221	43.0	0.470915112238	-0.74	AE_pos_88.0221_43
row12	88.0387	85.0	0.00363104045441	-3.4	AE_pos_88.0387_85
row13	88.0572	63.0	0.553701539887	-0.6	AE_pos_88.0572_63
row14	88.0751	102.0	0.129139178551	-1.6	AE_pos_88.0751_102
row15	88.5085	83.0	0.010667549804	-2.89	AE_pos_88.5085_83
row16	89.0077	107.0	0.638388529533	-0.48	AE_pos_89.0077_107
row17	89.0704	504.0	0.755090883268	0.32	AE_pos_89.0704_504
row18	89.4647	559.0	0.450354662314	-0.77	AE_pos_89.4647_559
row19	89.4648	56.0	0.350810278676	-0.96	AE_pos_89.4648_56
row20	89.506	54.0	0.373320712055	-0.92	AE_pos_89.506_54
row21	89.5063	552.0	0.853337218125	-0.19	AE_pos_89.5063_552
row22	90.0544	514.0	0.822436696332	0.23	AE_pos_90.0544_514
row23	90.5062	394.0	0.399091101725	0.87	AE_pos_90.5062_394
row24	90.5059	29.0	0.613677073456	0.51	AE_pos_90.5059_29
row25	90.5254	470.0	0.64964788937	0.46	AE_pos_90.5254_470
row26	90.5256	40.0	0.813150758737	-0.24	AE_pos_90.5256_40
row27	90.9762	47.0	0.679889483235	-0.42	AE_pos_90.9762_47
row28	91.0173	165.0	0.685784045343	-0.41	AE_pos_91.0173_165
row29	91.0231	49.0	0.445128753891	-0.78	AE_pos_91.0231_49
row30	91.0271	87.0	0.0851826541413	1.83	AE_pos_91.0271_87
row31	91.027	331.0	0.192642030309	-1.36	AE_pos_91.027_331
row32	91.5039	415.0	0.608153847746	0.52	AE_pos_91.5039_415
row33	91.504	25.0	0.327328602018	-1.01	AE_pos_91.504_25
row34	91.542	38.0	0.00103352682731	4.0	AE_pos_91.542_38
row35	92.0571	232.0	0.243474216009	-1.21	AE_pos_92.0571_232
row36	92.5219	37.0	0.448640755797	-0.78	AE_pos_92.5219_37
row37	94.0646	215.0	0.762123505279	-0.31	AE_pos_94.0646_215
row38	95.085	268.0	0.123676505952	-1.63	AE_pos_95.085_268
row39	95.5225	28.0	0.630211605692	0.49	AE_pos_95.5225_28
row40	96.0551	150.0	0.684536185915	-0.41	AE_pos_96.0551_150
row41	96.0551	512.0	0.121636405795	1.63	AE_pos_96.0551_512
