mz	time	mz.min	mz.max	p_0hr_01_1	p_0hr_01_3	p_0hr_01_5	p_0hr_02_1	p_0hr_02_3	p_0hr_02_5	p_0hr_03_1	p_0hr_03_3	p_0hr_03_5	mock_6hr_01_1	mock_6hr_01_3	mock_6hr_01_5	mock_6hr_02_1	mock_6hr_02_3	mock_6hr_02_5	mock_6hr_03_1	mock_6hr_03_3	mock_6hr_03_5	yf_6hr_01_1	yf_6hr_01_3	yf_6hr_01_5	yf_6hr_02_1	yf_6hr_02_3	yf_6hr_02_5	yf_6hr_03_1	yf_6hr_03_3	yf_6hr_03_5
785.5109	39.81348	785.4627	785.5625	18.9249	18.1339	18.9783	16.5884	16.7377	19.4297	15.3919	15.8847	14.4196	15.3868	15.2926	14.0527	10.9628	14.8148	10.696	13.7697	14.13	13.3188	14.2203	15.0472	15.0149	15.6936	15.2279	15.9886	13.4904	12.6751	12.8533
785.5891	40.06305	785.5708	785.6041	17.9613	16.2085	18.2362	16.5128	16.3624	15.9906	14.1753	14.6091	12.7554	14.9831	14.2651	16.149	11.9355	11.5974	10.7094	13.7394	12.8889	9.9658	14.272	14.3881	12.5528	13.9136	12.1647	15.8946	13.8287	12.9663	14.2213
785.6403	39.91165	785.6207	785.6624	19.238	19.1403	19.4383	18.4552	19.111	18.8695	11.9755	13.6022	15.3736	14.4807	13.9652	14.7106	11.9074	14.0708	12.0487	12.8504	14.7627	14.5168	15.7874	15.563	14.6514	13.4782	13.8986	14.5344	12.9113	12.6661	11.6701
785.7188	39.17101	785.6707	785.7705	18.9371	18.7187	17.8614	19.369	19.6147	18.35	11.8082	12.0411	12.7893	9.9658	13.5288	16.0986	14.2166	11.348	11.2376	14.5526	13.306	12.4426	15.063	13.3992	15.8359	12.2638	14.1409	13.0602	14.491	14.0912	15.4059
785.7872	37.80047	785.7872	785.7872	17.583	17.371	16.9447	17.3544	16.5106	15.7634	12.8169	13.2379	14.2481	16.4857	15.1653	14.5924	11.132	9.9658	12.6583	14.3406	14.2436	15.6487	14.9522	9.9658	13.3528	12.414	15.416	15.8603	13.5709	14.539	15.4839
785.9119	38.97571	785.8121	785.9703	20.1317	18.8271	19.7968	19.8313	19.1709	18.1111	14.7893	13.8312	14.4418	15.8665	14.9559	16.5056	13.4419	14.9439	12.4082	15.6475	14.4125	14.5512	14.4374	14.4034	14.2617	14.5653	15.8528	14.4713	15.0795	14.4505	15.3059
786.0297	39.20537	785.9786	786.0911	18.0123	18.9875	19.7326	19.1707	19.6407	19.5536	13.3859	12.471	13.3469	14.5256	15.3515	15.5454	12.4754	15.4968	15.225	14.3837	13.4421	13.7911	16.1881	13.9083	15.6937	14.8548	14.6375	13.8761	11.388	10.9614	15.7887
786.156	39.17176	786.1035	786.2118	19.5387	19.4514	19.932	19.4533	18.7959	18.9294	13.1304	13.4904	14.1408	15.4359	15.624	14.4367	14.4979	12.1968	13.2879	13.9839	13.4743	15.9887	13.7872	14.3016	14.5389	15.0317	13.3325	12.44	14.7015	15.5875	14.095
786.2742	41.00647	786.2202	786.3368	18.3667	19.4459	18.4962	19.0353	18.9701	18.0287	13.9196	13.6411	14.1828	16.0534	17.4672	15.9868	13.2692	14.0374	16.338	10.4533	15.1455	15.5749	16.5379	16.1939	15.9472	15.2553	16.2712	15.9573	13.995	15.4256	14.8222
786.4153	39.13204	786.3451	786.4868	19.7185	19.3715	18.8859	18.9918	19.0733	19.7683	13.2894	12.9041	14.9652	16.3713	15.071	15.5006	16.2345	13.842	13.5754	16.3074	16.036	15.1367	14.8029	15.9324	13.8901	16.5916	13.6027	16.1016	15.3235	16.5208	15.1369
786.5214	41.486	786.4951	786.5451	19.6211	19.2167	19.7631	19.7156	19.3614	19.3926	12.385	12.005	14.0836	14.323	14.9625	14.7639	11.7402	15.4359	10.4527	14.3676	14.1494	13.5785	14.8329	14.6908	13.654	15.1623	14.1673	14.4992	17.3666	13.7654	14.1235
786.5761	37.41068	786.5618	786.5951	17.8491	17.0229	16.655	15.7516	17.8068	17.4243	11.8845	14.8837	12.5403	15.41	15.0852	15.5853	11.3242	15.7513	9.9658	15.2909	15.0212	13.1511	13.5941	14.1284	15.5923	13.9723	14.4049	15.0251	9.9658	13.9329	15.9685
786.6171	33.11178	786.6035	786.6285	17.5516	16.1176	18.0288	16.2466	16.6288	16.6373	15.7696	12.0111	12.3088	9.9658	15.4339	14.4988	9.9658	11.9372	9.9658	14.8575	14.6773	15.3344	9.9658	9.9658	15.811	16.9862	13.0511	13.1149	9.9658	12.6188	15.7622
786.6604	39.69124	786.6368	786.6868	17.7704	16.3926	18.1251	17.8813	18.0398	17.7684	11.0436	10.9987	14.4223	9.9658	14.4852	16.0133	9.9658	11.824	9.9658	15.1895	9.9658	15.8991	14.1441	14.0713	13.9756	9.9658	14.1051	13.73	14.26	14.4309	13.8868
786.8194	46.3073	786.7786	786.8286	18.9098	19.3313	19.0129	19.923	19.6247	19.4324	20.9512	20.9277	20.9311	21.3614	21.4175	21.43	20.1247	21.0046	20.9567	19.9856	21.1856	21.1693	21.3504	21.4228	21.3998	21.429	21.4458	21.4467	20.2785	21.1952	20.2378
786.9021	41.64312	786.8453	786.9454	17.0948	19.3184	19.4299	19.0995	17.5092	18.5771	17.4733	16.5895	14.5149	17.5137	17.6298	17.4709	15.6079	16.8386	17.0302	17.3601	17.1585	16.8909	18.0603	18.3002	18.3121	18.5542	18.2299	18.0853	17.7937	17.6869	17.6408
787.147	39.1688	787.1122	787.1957	19.7106	18.7716	18.2232	18.9648	18.546	16.1284	13.656	11.7849	13.9147	15.3201	15.2552	15.7041	11.622	13.0025	15.3888	14.042	13.1246	13.9989	14.3344	14.69	15.5304	9.9658	15.5303	12.7875	14.0231	16.2957	15.1439
